id;address;authors;authors_original;booktitle;date;editor;editors_original;institution;journal;month;note;pages;publisher;tech;title;type;volume;year
313;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky ed ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume2;
314;;fahlman s and lebiere c ;fahlman s and lebiere c ;advances in neural information processing systems;1990;in d touretzky ed ;;;;;;;morgan kaufmann ;;the cascade correlation learning architecture ;;volume2;
315;denver co ;s fahlman and c lebiere ;s fahlman and c lebiere ;in adv in neural info processing systems;1989;;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume2;
316;den ver co ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;in advances in neural information processing systems;1989;;;;;;;pages 524 532;;;the cascade correlation learning architecture ;;volume2;
317;;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems;1990;in d touretzky editor ;;;;;;;morgan kaufmann ;;the cascade correlation learning architecture ;;volume2;
318;;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems;1990;in d touretzky editor ;;;;;;;morgan kaufmann ;;the cascade correlation learning architecture ;;volume2;
319;;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems ;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
320;san mateo 1990;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;;touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learn ing architecture in d s ;;volume 2;
321;san mateo 1990;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;;touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture in d s ;;volume 2;
322;denver co;s e fahlman and c lebiere ;s e fahlman and c lebiere ;in advances in neural information processing systems ;1989;;;;;;;524 532;;;the cascade correlation learning architecture ;;volume 2;
323;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;in advances in neural information processing systems;1990; d s touretzky ed ;;;;;;pp 524 532;morgan kaufmann ;;the cascade correlation learning architec ture ;;2;
324;san mateo ;s e fahlmann c lebiere ;s e fahlmann c lebiere ;advances in neural information processing systems;1990;;;;;;;;morgan kaufmann ;;the cascade correlation learning architecture ;;2;
325;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;;morgan kaufmann ;;the cascade correlation architecture ;;2;
326;;s fahlman and c lebiere ;s fahlman and c lebiere ;in advances in neural information processing systems;1990; d touretzky ed ;;;;; san mateo ;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
327;;s fahlman and c lebiere ;s fahlman and c lebiere ;in advances in neural information processing systems;1990; d touretzky ed ;;;;; san mateo ;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
328;;s fahlman and c lebiere ;s fahlman and c lebiere ;in advances in neural information processing systems;1990; d touretzky ed ;;;;; san mateo ;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
329;;s fahlman and c lebiere ;s fahlman and c lebiere ;neural information systems;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;volume2;
330;;fahlman s e lebiere c ;fahlman s e lebiere c ;in advances in neural information processing systems ;1990;d s touretzky ed ;;;;;;524 532;morgan kaufman ;;the cascade correlation architecture ;;2;
331;los altos ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
332;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;ed d s touretsky ;;;;;;524 532;;;the cascade correlation learning architecture ;;2;
333;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann publishers inc ;;the cascade correlation learning architecture ;;2;
334;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretsky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;;
335;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;neural information processing systems ;1990;in d touretzky editor ;;;;;;;morgan kauffman inc ;;the cascade correlation learning architecture ;;volume 2;
336;los altos ca ;fahlmann scott c lebiere ;fahlmann scott c lebiere ;in advances in neural information processing;;;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architechture ;;2;
337;san mateo ca ;s fahlman and c libiere ;s fahlman and c libiere ;advances in neural information processing systems;;in d touretzky ed ;;;;;;p 524 532; morgan kaufman ;;the cascade correlation architecture ;;2;
338;san mateo ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
339;san mateo ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
340;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
341;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
342;san mateo ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;in advances in neural information processing systems ii denver 1989;1990;ed d s touretzky ;;;;;;524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;;
343;san mateo ca ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;advances in neural information processing ;1990;d s touretzky ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning architecture ;;vol 2;
344;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;in ad vances in neural information processing systems ii ;1989;edited by d touretzky ;;;;;;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;;
345;san mateo ca ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;advances in neural information processing systems ;1990;in touretzky d editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
346;los altos ca ;fahlmann scott c lebiere ;fahlmann scott c lebiere ;in advances in neural information processing;;;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architechture ;;2;
347;los altos ca ;fahlmann scott c lebiere ;fahlmann scott c lebiere ;in advances in neural information processing;;;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;2;
348;denver colorado ;s e fahlman and c lebiere;s e fahlman and c lebiere;in nips 2;1990;editors d touretzky m ;;;;;;pp 524 532;kaufmann publishers inc ;;the cascade correlation learning architecture ;;;
349;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in 13;1990;;;;;;;pages 524 532;;;the cascade correlation learning architec ture ;;;
350;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in 13;1990;;;;;;;pages 524 532;;;the cascade correlation learning architec ture ;;;
351;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in 9;1990;;;;;;;pages 524 532;;;the cascade correlation learning architecture ;;;
352;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;pages 524 532;ieee morgan kaufmann ;;the cascade correlation learning architecture ;;2;
353;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;pages 524 532;ieee morgan kaufmann ;;the cascade correlation learning architecture ;;2;
354;;s fahlman and c lebiere ;s fahlman and c lebiere ;in neural information systems;1990;d touretzky ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
355;;s fahlman and c lebiere ;s fahlman and c lebiere ;in neural information systems;1990;ed d touretzky ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
356;san mateo ca ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;advances in neural information processing ;1990;d s touretzky ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning architecture ;;vol 2;
357;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
358;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;;morgen kaufmann ;;the cascade correlation learning architecture ;;2;
359;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in 16;1990;;;;;;;pages 524 532;;;the cascade correlation learning architecture ;;;
360;san mateo ca ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;advance in neural information processing systems;1990; ed in touretzky d ;;;;;;524 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;vol 2;
361;los altos ca ;fahlman s and lebiere c ;fahlman s and lebiere c ;advances in neural information processing systems;1990;in d s touretzky ed ;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;2;
362;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing structures;1990;in d s touretsky editor ;;;;;;pages 524532;morgan kauf mann ;;the cascade correlation architecture ;;2;
363;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing structures;1990;in d s touretsky editor ;;;;;;pages 524532;morgan kauf mann ;;the cascade correlation architecture ;;2;
364;san mateo ;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems ;1989 1990;in d touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
365;los altos ca ;s fahlmann c lebiere ;s fahlmann c lebiere ;advances in neural information processing;;;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;2;
366;los altos ca ;s fahlmann c lebiere ;s fahlmann c lebiere ;advances in neural information processing;;;;;;;;pp 524 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;2;
367;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in 22;1990;;;;;;38 references;pages 524 532;;;the cascade correlation learning architecture ;;;
368;;s fahlman and c lebiere ;s fahlman and c lebiere ;neural information systems;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
369;;s fahlman and c lebiere ;s fahlman and c lebiere ;neural information systems;1990;in d touretzky editor ;;;;;;pages 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
370;;fahlman scott e ;fahlman scott e ;in advances in neural information processing systems;1990;;;;;;;;morgan kaufman;;the cascade correlation learning architecture ;;2;
371; san mateo ca ;s fahlman ;s fahlman ;in advances in neural information processing systems;1990;d touretzky ed ;;;;;;pp 524 ed 532;morgan kaufmann publishers ;;the cascade correlation learning architecture ;;2;
372;;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;in d s touretzky editor ;;;;;;;morgen kaufmann ;;the cascade correlation learning architecture ;;2;
373;;s e fahlman and lebiere c ;s e fahlman and lebiere c ;in advances in neural information processing systems ;1990;;;;;;;524 532;;; the cascaded correlation learning architecture ;;2;
374;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in advances in neural information processing systems;1990;touretzky ed ;;;;;;;morgan kauffman ;;the cascade correlation learning architecture ;;2;
375;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in advances in neural information processing systems;1990;touretzky ed ;;;;;;;morgan kauffman ;;the cascade correlation learning architecture ;;2;
376;san mateo ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
377;san mateo ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems ;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;volume 2;
378;;scott e fahlman and christian lebiere ;scott e fahlman and christian lebiere ;in advances in neural information processing systems ii ;1990;;;;;;;pages 524 532;morgan kauf man ;;the cascade correlation learning architecture ;;;
379;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;neural information processing systems;1990;in d s touretzky editor ;;;;;;pages 524 532;morgan kauffman ;;the cascade correlation learning algorithm ;;2;
380;san mateo ca ;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems ;1990;in d touretzky editor ;;;;;;pages 524 532;ieee morgan kaufmann ;;the cascade correlation learning architecture ;;;
381;san mateo ca ;s fahlman and c lebiere ;s fahlman and c lebiere ;advances in neural information processing systems ;1990;in d touretzky editor ;;;;;;pages 524 532;ieee morgan kaufmann ;;the cascade correlation learning architecture ;;;
382;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;;;;;;;2 pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
383;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;;;;;;;2 pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
384;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;;;;;;;2 pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
385;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems;1990;;;;;;;2 pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
386;;fahlman s e lebiere c ;fahlman s e lebiere c ;advances in neural information processing systems;1990;in touretzky ed ;;;;;;;morgan kauffman ;;the cascade correlation learning architecture ;;2;
387;;fahlman s e lebiere c ;fahlman s e lebiere c ;advances in neural information processing systems;1990;in touretzky ed ;;;;;;;morgan kauffman ;;the cascade correlation learning architecture ;;2;
388;san francisco ;fahlman s and lebiere c ;fahlman s and lebiere c ;advances in neural information processing systems ;1990;in touretzky d ed ;;;;;;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;2;
389;;fahlman s e and lebiere c ;fahlman s e and lebiere c ;in neural information systems;1990;touretzky d s ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning architecture ;;2;
390;;fahlman s e and lebiere c ;fahlman s e and lebiere c ;in neural information systems;1990;touretzky d s ed ;;;;;;pp 524 532;morgan kauffman ;;the cascade correlation learning architecture ;;2;
391;san mateo ;fahlman s e and lebiere c ;fahlman s e and lebiere c ;in advances in neural information processing systems ii denver 1989;1990;ed d s touretzky ;;;;;;524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;;
392;denver colorado ;s e fahlman and lebiere c ;s e fahlman and lebiere c ;in neural information processing systems;1990;editors d touretzky ;;;;;;pp 524 532;morgan kauf mann publishers inc ;;the cascade correlation learning architecture ;;2;
393;denver colorado ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;in neural information processing systems;1990;editors d touretzky ;;;;;;pp 524 532;morgan kaufmann publishers inc ;;the cascade correlation learning architecture ;;2;
394;;s e fahlman and c lebiere;s e fahlman and c lebiere;in advances in neural information systems ii ;1990;d e touretzky ed ;;;;;;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;;
395;san mateo ca ;s e fahlman and c lebiere ;s e fahlman and c lebiere ;advances in neural information processing systems nips89;1990;;;;;;;pp 524 532;morgan kaufmann ;;the cascade correlation learning architecture ;;vol 2;
396;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;190 205;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
397;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;190 205;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
398;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;190 205;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
399;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;190 205;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
400;san mateo california ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;pages 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
401;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;pages 190 196;morgan kaufmann ;;the recurrent cascade correlation learning algorithm ;;3;
402;san mateo ca ;fahlman s e ;fahlman s e ;advances in neural information processing systems;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;pages 190 196;morgan kaufmann ;;the recurrent cascade correlation learning algorithm ;;3;
403;san mateo ca ;fahlman s e ;fahlman s e ;nips 3;1991;in lippmann r p moody j e and touretzky d s editors ;;;;;;pages 190 196;morgan kaufmann ;;the recurrent cascade correlation learning algorithm ;;;
404;;fahlmann s e 1990;fahlmann s e 1990;inadvances in neural information processing systgems ;;;;;;;;pp 380 387;;;the recurrent cascade correlation architecture ;;;
405;san mateo california ;scott e fahlman ;scott e fahlman ;advances in neural information processing systems;1991;in r p lipp mann j e moody and d s touretzky editors ;;;;;;pages 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
406;san mateo california ;s fahlman ;s fahlman ;advances in neural information processing systems;1991;in r lippmann j moody and d touretzky editors ;;;;;;pages 190 196;morgan kaufmann publishers inc ;;the recurrent cascade correlation architecture ;;3;
407;san mateo california ;scott e fahlman ;scott e fahlman ;advances in neural information processing systems;1991;in r p lippmann j e moody and d s touretzky editors ;;;;;;pages 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
408; san mateo ca ;s fahlman ;s fahlman ;in advances in neural information processing systems;1991;r p lippmann j moody and d touretzky eds ;;;;;;pp 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
409;san mateo california ;scott e fahlman ;scott e fahlman ;advances in neural information processing systems;1991;in r p lippmann j e moody and d s touretzky editors ;;;;;;pages 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
410;san mateo california ;scott e fahlman ;scott e fahlman ;advances in neural information processing systems;1991;in r p lippmann j e moody and d s touretzky editors ;;;;;;pages 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
411;san mateo ca ;s fahlman ;s fahlman ;advances in neural information processing systems;1991;in r lippmann j moody and d touretzky editors ;;;;;;pages 190 196;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
412;san mateo ca ;s fahlman ;s fahlman ;advances in neural information processing systems;1991;in r lippmann j moody and d touretzky editors ;;;;;;pages 190 196;morgan kaufmann ;;the recurrent cascade correlation architecture ;;3;
413;;fahlman scott e ;fahlman scott e ;in advances in neural information processing systems;1991;;;;;;;;morgan kaufman;;the recurrent cascade correlation architecture ;;3;
414; san mateo ca ;s fahlman ;s fahlman ;in advances in neural information pro cessing systems;1991;r lippmann j moody and d touretzky eds ;;;;;;pp 190 196;morgan kaufmann publishers ;;the recurrent cascade correlation architecture ;;3;
415;;scott e fahlman and david b mcdonald ;scott e fahlman and david b mcdonald ;advanced language implementation ;1991;in peter lee editor ;;;;;;pages 137 156;the mit press ;;design considerations for cmu common lisp ;;chapter 6;
416;;scott e fahlman and david b mcdonald ;scott e fahlman and david b mcdonald ;advanced language implementation ;1991;in peter lee editor ;;;;;;pages 137 156;the mit press ;;design considerations for cmu common lisp ;;chapter 6;
417;pittsburgh ;fahlman s e ;fahlman s e ;;1991;;;school of computer science carneige mellon university ;;;;;;cmu cs 91 100;the recurrent cascade correlation architecture ;;;
418;;scott e fahlman ;scott e fahlman ;;1991;;;dept of computer science carnegie mellon university ;;;;;;technical report cmu cs 91 100;the recurrent cascade correlation architecture ;;;
419;;scott e fahlman ;scott e fahlman ;;1991;;;dept of computer science carnegie mellon university ;;;;;;technical report cmu cs 91 100;the recurrent cascade correlation architecture ;;;
420;;scott e fahlman ;scott e fahlman ;;1991;;;dept of computer science carnegie mellon university ;;;;;;technical report cmu cs 91 100;the recurrent cascade correlation architecture ;;;
421;;scott e fahlman ;scott e fahlman ;innovative applications of massive parallelism ;1993;in james geller editor ;;stanford university ;;;working notes spring symposium series ;pages 85 89;aaai ;;some thoughts on netl 15 years later;;;
422;pittsburgh ;fahlman s e ;fahlman s e ;;1993;;;carnegie mellon university school of computer science ;;;;;;;cmu benchmark collection for neural net learning algorithms ;;;
423;;s e fahlman l d baker and j a boyan ;s e fahlman l d baker and j a boyan ;;1996;;;cmu cs tr 96 184 carnegie mellon university;;;;;;technical report ;the cascade 2 learning architecture;;;
424;;s e fahlman l d baker and j a boyan ;s e fahlman l d baker and j a boyan ;;1996;;;cmu cs tr 96 184 carnegie mellon university;;;;;;technical report ;the cascade 2 learning architecture;;;
425;;s e fahlman l d baker and j a boyan ;s e fahlman l d baker and j a boyan ;;1996;;;cmu cs tr 96 184 carnegie mellon university;;;;;;technical report ;the cascade 2 learning architecture;;;
426;;fahln l e c g brown o stahl c carlsson ;fahln l e c g brown o stahl c carlsson ;in proceedings of interchi93 amsterdam;1993;;;;;;;43 48;acm ny ;;a space based model for user interaction in shared synthetic environments ;;;
427;;fahln l e c g brown o stahl c carlsson ;fahln l e c g brown o stahl c carlsson ;in proceedings of the interchi93 conference amsterdam;1993;;;;;;;43 48;acm ny ;;a space based model for user interaction in shared synthetic environments ;;;
428;;r forchheimer and o fahlander ;r forchheimer and o fahlander ;in proceedings picture coding symposium pcs 83 davis;1983;;;;;;;pp 113 114;;;low bit rate coding through animation ;;;
429;;j frankel l alvarez r horowitz and p li ;j frankel l alvarez r horowitz and p li ;;;;;university of california ;;;;;;ucb path tech note 94 09;robust platoon manuevers for avhs ;;;
430;;l j hendren g r gao e r altman and c muk erji ;l j hendren g r gao e r altman and c muk erji ;proc of the intl conf on compiler construction number 641 in lec notes in comp sci;1992;in u kastens and p pfahler editors ;;;;;;pages 176 191;springer verlag ;;a register allocation framework based on hierarchical cyclic interval graphs ;;;
431;;herzog m h fahle m ;herzog m h fahle m ;;1995;;;;perception ;;;;;;a recurrent model for learning a hyperacuity task ;;24;
432;pittsburgh pa ;hoehfeld m and fahlman s e ;hoehfeld m and fahlman s e ;;1991;;;school of computer science carnegie mellon university ;;;;;;preprint ;learning with limited numerical precision using the cascade correlation algorithm ;;;
433;;m h hoehfeld and s fahlman ;m h hoehfeld and s fahlman ;;1992;;;;ieee transactions on neural networks ;;;;;;learning with limited numerical precision using the cascade correlation algorithm ;;vol 3 no 4;
434;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
435;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p pfahler ed ;;;;;lecture notes in computer science ;pp 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
436;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p pfahler ed ;;;;;lecture notes in computer science ;pp 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
437;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p pfahler ed ;;;;;lecture notes in computer science ;pp 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
438;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proc of the fourth int conf on comp construct ;1992;u kastens and p ed ;;;;;lec notes in comp sci ;5 7;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
439;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proc of the fourth int conf on comp construct ;1992;u kastens and p ed ;;;;;lec notes in comp sci ;5 7;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
440;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
441;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
442;s pringer verlag new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler ;;the interprocedural coincidence theorem ;;vol 641;
443;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
444;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proc of the fourth int conf on comp construct ;1992;u kastens and p ed ;;;;;lec notes in comp sci ;5 7;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
445;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
446;new york ny;knoop j and steffen b ;knoop j and steffen b ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p ed ;;;;;lecture notes in computer science ;pp 125 140;pfahler springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
447;;j knoop and b steffen ;j knoop and b steffen ;proceedings of the fourth international conference on compiler construction lecture notes in computer science;1992;in u kastens and p pfahler editors ;;;;;;pages 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
448;;j knoop and b steffen ;j knoop and b steffen ;proceedings of the fourth international conference on compiler construction lecture notes in computer science;1992;in u kastens and p pfahler editors ;;;;;;pages 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
449;new york ny ;j knoop and b steffen ;j knoop and b steffen ;in proceedings of the fourth international conference on compiler construction ;1992;u kastens and p pfahler eds ;;;;;appeared as lecture notes in computer science ;pages 125 140;springer verlag ;;the interprocedural coincidence theorem ;;vol 641;
450;;jurgen knopp ;jurgen knopp ;compiler construction volume 641 of lecture notes in computer science;1992;in u kastnes and p pfahler editors ;;;;;;pages 271 277;springer verlag ;;improving the performance of parallel lisp by compile time analysis ;;;
451;;kriegel h p heep s fahldiek a mysliwitz n ;kriegel h p heep s fahldiek a mysliwitz n ;proc 4th int conf dexa 1993;;;;;;;;pp 349 360;;;query processing of geometric objects with free form boundaries in spatial databases ;;;
452;;kriegel h p heep s fahldiek a mysliwitz n ;kriegel h p heep s fahldiek a mysliwitz n ;proc 4th int conf dexa 1993;;;;;;;;pp 349 360;;;query processing of geometric objects with free form boundaries in spatial databases ;;;
453;paderborn germany ;koen langendoen and pieter hartel fcg ;koen langendoen and pieter hartel fcg ;proceedings of the conference on compiler construction ;oct 92;in p pfahler u kastens editor ;;;;;;pages 278 296;springer verlag ;;a code generator for lazy functional languages ;;;
